Ranking,Car_ID,Year,Car_Make,Car_Model,Total_Points
3,113,2012,Acura,Tsx sportwagon,116
5,112,2008,Acura,TL,110
7,114,2015,Acura,TLX,102
2,15,2014,Audi,S4,120
33,18,2015,Audi,S3,38
38,116,2008,Audi,A4,28
39,98,2012,Benz,C63,26
40,2,2016,Bmw,M2,24
41,172,2014,Bmw,4,22
47,111,2007,Bmw,328i,10
20,218,2010,Chevy,Camaro,64
27,170,2014,Chevy,Cruze,50
52,0,2015,Chevy,Camaro,0
8,216,2007,Chrystler,300,96
33,99,2014,Civic,Si,38
50,72,2016,Civic,Si,4
28,104,2014,Civic coupe,Si,48
48,42,2001,Dodge,Viper,8
25,137,2017,Ford,Focus rs,54
37,120,2014,Ford,Focus st,30
39,219,2016,Ford,Focus rs,26
4,83,2014,Honda,Accord,112
6,65,2009,Honda,Fit,106
7,31,2007,Honda,Fit,102
19,30,2012,Hyundai,Celoster,66
21,38,2017,Hyundai,Elantra sport,62
37,92,2017,Hyundai,Elantra sport,30
46,95,2004,Infiniti,G35,12
30,122,2011,Infinity,M37s,44
33,20,2009,Infinity,G37,38
1,124,2015,Jeep,Wrangler,124
19,123,2006,Lexus,Sc430,66
32,222,2015,Lexus,Is250,40
47,190,1995,Lexus,Sc300,10
28,52,2007,Mazda,Speed 3,48
34,78,2015,Mazda,6,36
39,141,1993,Mazda,Miata,26
14,25,2012,Mercedes,C250,78
17,84,2012,Mercedes,Cl63amg,70
35,17,2016,Mercedes,C43,34
7,91,2010,Mitsu,Lancer,102
30,140,1995,Mitsu,Evo8,44
32,176,2014,Mitsu,Lancer,40
32,19,2001,Mitsub,Evo7,40
9,228,2010,Nissan,370,92
11,153,2011,Nissan,370,84
11,161,2012,Nissan,370z,84
13,57,2015,Scion,Frs,80
42,235,2013,Scion,Frs,20
15,36,2016,Subaru,WRX,74
18,33,2015,Subaru,Sti,68
21,21,2009,Subaru,WRX,62
23,110,2011,Toyota,Camry,58
23,142,1993,Toyota,Supra,58
25,43,2011,Toyota,4 Runner,54
9,126,2010,Volkswagen,Eos,92
12,180,2011,Volkswagen,Gti,82
24,156,2014,Volkswagen,Gli,56
41,100,2006,Volvo,S60r,22
