Make,Car_ID,Total,Rank
Acura,113,116,4
Acura,112,110,6
Acura,50,102,8
Audi,15,120,3
Audi,18,38,83
Audi,116,28,98
Bmw,2,24,108
Bmw,172,22,117
Bmw,111,10,140
Chevy,218,64,33
Chevy,170,50,55
Chevy,0,0,167
Chrystler,216,96,11
Dodge,42,8,149
Ford,137,54,49
Ford,120,30,94
Ford,219,26,104
Honda,83,112,5
Honda,65,106,7
Honda,31,102,9
Hyundai,30,66,30
Hyundai,38,62,40
Hyundai,92,30,95
Infiniti,128,128,1
Infiniti,122,44,68
Infiniti,20,38,79
Jeep,124,124,2
Lexus,123,66,31
Lexus,222,40,74
Lexus,190,10,146
Mazda,52,48,59
Mazda,78,36,86
Mazda,141,26,105
Mercedes,25,78,22
Mercedes,84,70,28
Mercedes,17,34,88
Mitsu,91,102,10
Mitsu,140,44,63
Mitsu,176,40,76
Nissan,228,92,12
Nissan,161,84,18
Nissan,3,84,19
Scion,57,80,21
Scion,235,20,121
Subaru,36,74,24
Subaru,33,68,29
Subaru,21,62,37
Toyota,142,58,43
Toyota,110,58,44
Toyota,43,54,47
Volkswagen,126,92,14
Volkswagen,180,82,20
Volkswagen,156,56,45
Volvo,100,22,116
